3.0038	3.8472	4.4215	4.7154	4.9935	5.7980	0.3252	1.2844	0.6342
3.6344	4.3337	4.9651	5.2218	5.6914	5.0380	-0.2191	0.0843	-0.0458
6.7740	6.7660	6.9789	4.4210	5.2126	5.4637	2.2178	2.2360	0.9331
5.1046	4.4699	5.2346	4.1775	4.7776	3.9610	-0.0016	0.3267	0.3540
6.2568	5.9457	6.2918	4.7616	5.5031	5.1749	0.1201	-0.1051	-0.6380
6.6246	6.7305	6.4128	4.4485	5.6885	5.6175	3.3548	2.2222	2.4359
2.1213	2.8673	2.9440	5.1700	5.6132	6.0654	3.6865	3.6295	3.9190
1.8551	3.3023	4.0222	4.4394	5.4047	4.8996	-0.1243	0.4676	0.0643
6.5188	6.7603	6.8280	4.7173	5.4350	5.3061	1.7214	3.1387	1.5162
6.6446	7.0173	6.0182	6.2498	5.8759	5.0674	9.2135	7.7878	7.0003
6.6893	7.1003	6.4194	6.0539	5.2019	6.1023	7.4511	6.4645	5.7807
6.6345	6.8140	6.6546	4.9817	5.8170	5.1014	2.3628	1.5562	2.3304
6.7382	6.8379	6.5347	5.0315	5.8146	5.4500	3.5898	3.1615	2.8008
6.0961	6.3100	5.6257	5.3548	5.8503	4.3267	3.8707	4.2482	4.1220
6.5077	6.7944	6.1457	5.4042	5.8430	5.4102	4.3819	4.3411	4.8664
6.5810	6.8993	6.1077	6.2889	5.8556	5.9862	8.1334	7.2477	6.5817
6.6543	6.8834	6.0894	6.2950	5.8467	5.0316	6.2663	5.7490	6.7832
3.8249	3.9455	4.7503	5.6335	5.2707	5.5722	0.1763	0.2310	0.6015
6.4296	6.4463	6.0260	4.5819	5.0420	5.0894	2.4609	3.0489	2.0281
4.4284	4.7690	4.0157	6.1639	5.7664	5.2306	3.9104	5.3863	4.1479
6.2819	6.4420	5.6888	6.7348	5.4387	5.4421	3.5337	3.9084	3.7701
6.4393	6.0649	5.4183	4.7724	5.5570	5.4410	5.1125	3.8312	2.4400
5.5669	5.8680	5.4073	6.6913	5.5726	5.9516	1.1702	-0.3193	1.1656
6.0799	6.1923	4.7098	5.7968	4.8379	4.1948	6.3762	6.3106	6.3389
4.2378	4.7544	1.6503	6.5380	4.4294	5.3883	8.8001	8.6157	8.5320
5.6606	6.1256	4.4863	7.1854	5.8407	7.2767	7.3998	8.1282	7.6389
5.4630	6.1566	5.2192	5.6637	5.2202	5.5027	3.8953	3.8746	3.8369
5.9718	5.9351	5.7770	5.0416	5.4569	5.8264	-1.2525	0.2212	0.0047
4.8521	5.4587	4.3879	4.8387	4.4043	5.0515	3.3299	4.5567	3.9980
5.6653	6.0595	5.3141	5.7567	3.9688	5.0001	3.2455	3.2051	3.4431
5.6194	6.1402	5.4261	5.4390	5.7212	5.6312	3.3206	2.4556	2.5208
6.2934	5.6731	5.7692	5.4115	4.1036	4.3973	2.8005	3.4274	2.6022
6.7968	6.1639	6.9803	4.7250	5.6667	5.7647	1.5500	2.3113	1.0835
3.7772	3.9954	4.7755	5.3114	4.7915	5.8965	0.4727	0.9422	0.8458
6.5205	6.9290	6.6888	4.8602	4.2246	4.2730	3.0879	3.9801	2.6817
